station_id,station_name,date,latitude,longitude,water_temp_c,ph,dissolved_oxygen_mg_l,total_nitrogen_mg_l,total_phosphorus_mg_l,chlorophyll_a_ug_l,secchi_depth_m
WQ001,Lake Winnipeg North,2019-01-01,52.1234,-96.8765,3.7,8.0,9.8,1.01,0.047,0.5,2.8
WQ002,Lake Winnipeg South,2019-01-01,50.5432,-96.5432,3.5,8.0,10.2,0.87,0.073,8.3,2.6
WQ003,Red River - Selkirk,2019-01-01,50.1432,-96.8621,2.5,7.8,10.4,1.19,0.051,4.5,2.9
WQ004,Red River - Winnipeg,2019-01-01,49.8951,-97.1384,1.1,8.0,10.7,1.06,0.045,6.9,2.7
WQ005,Assiniboine River,2019-01-01,49.884,-97.21,5.6,7.8,10.9,0.35,0.005,2.0,1.8
WQ006,Lake Manitoba,2019-01-01,50.85,-98.79,5.8,8.3,8.2,1.05,0.03,4.6,2.3
WQ007,Shoal Lake,2019-01-01,49.67,-95.35,4.2,8.3,11.0,0.9,0.063,7.4,2.0
WQ008,Netley Marsh,2019-01-01,50.32,-96.81,2.6,8.0,10.7,0.72,0.097,0.9,1.6
WQ001,Lake Winnipeg North,2019-01-08,52.1234,-96.8765,5.5,8.5,10.8,1.05,0.079,4.5,1.4
WQ002,Lake Winnipeg South,2019-01-08,50.5432,-96.5432,2.9,8.4,7.8,0.81,0.055,3.4,3.1
WQ003,Red River - Selkirk,2019-01-08,50.1432,-96.8621,5.2,8.8,10.9,0.62,0.039,0.8,3.3
WQ004,Red River - Winnipeg,2019-01-08,49.8951,-97.1384,2.9,8.1,11.1,0.58,0.044,0.5,1.6
WQ005,Assiniboine River,2019-01-08,49.884,-97.21,2.9,8.2,11.8,0.79,0.055,5.8,3.4
WQ006,Lake Manitoba,2019-01-08,50.85,-98.79,5.8,8.2,8.5,1.07,0.058,11.1,2.5
WQ007,Shoal Lake,2019-01-08,49.67,-95.35,7.9,8.0,12.4,0.83,0.04,0.5,2.4
WQ008,Netley Marsh,2019-01-08,50.32,-96.81,6.8,8.3,11.0,0.1,0.064,7.8,2.1
WQ001,Lake Winnipeg North,2019-01-15,52.1234,-96.8765,2.7,8.1,12.6,0.48,0.041,11.8,2.1
WQ002,Lake Winnipeg South,2019-01-15,50.5432,-96.5432,3.3,8.1,8.1,0.87,0.026,9.4,2.5
WQ003,Red River - Selkirk,2019-01-15,50.1432,-96.8621,8.6,8.2,12.0,0.41,0.048,6.6,3.9
WQ004,Red River - Winnipeg,2019-01-15,49.8951,-97.1384,0.6,8.4,10.9,1.26,0.064,5.3,2.1
WQ005,Assiniboine River,2019-01-15,49.884,-97.21,1.5,8.2,9.7,1.41,0.038,6.6,1.2
WQ006,Lake Manitoba,2019-01-15,50.85,-98.79,3.2,8.2,11.2,1.23,0.049,0.5,2.9
WQ007,Shoal Lake,2019-01-15,49.67,-95.35,5.0,8.2,8.9,1.14,0.052,8.5,3.5
WQ008,Netley Marsh,2019-01-15,50.32,-96.81,5.2,8.2,13.2,0.87,0.044,5.6,3.7
WQ001,Lake Winnipeg North,2019-01-22,52.1234,-96.8765,4.2,8.3,11.8,0.65,0.015,6.5,2.7
WQ002,Lake Winnipeg South,2019-01-22,50.5432,-96.5432,2.8,8.4,10.9,0.5,0.06,4.0,1.3
WQ003,Red River - Selkirk,2019-01-22,50.1432,-96.8621,4.9,8.1,8.9,0.96,0.06,2.1,2.8
WQ004,Red River - Winnipeg,2019-01-22,49.8951,-97.1384,6.0,7.9,10.6,0.8,0.095,0.5,3.1
WQ005,Assiniboine River,2019-01-22,49.884,-97.21,3.4,8.1,12.9,0.8,0.095,2.8,2.8
WQ006,Lake Manitoba,2019-01-22,50.85,-98.79,3.0,7.9,10.1,0.72,0.054,0.5,4.1
WQ007,Shoal Lake,2019-01-22,49.67,-95.35,3.7,8.6,8.5,0.89,0.113,0.7,1.3
WQ008,Netley Marsh,2019-01-22,50.32,-96.81,2.9,8.2,11.0,1.19,0.045,0.5,2.2
